evidence_level,construct,direction_supported,directness_to_clinical_outcome,citation,finding
animal,behavioural/functional consequence,supports-benefit,indirect,PMID:23874851,Exendin-4 attenuates rewarding properties of psychostimulants (amphetamine/cocaine) in mice — conditioned place preference and locomotor reward reduced.
animal,behavioural/functional consequence,supports-benefit,indirect,PMID:28778739,"Exendin-4 decreases relapse-like drinking in socially-housed mice — models craving/relapse, reduced by GLP-1R agonism."
animal,behavioural/functional consequence,contradicts-benefit,indirect,PMID:31058214,"GLP-1R agonist treatment does NOT reduce abuse-related effects of opioid drugs — benefit signal is substance-specific, not universal; opioid reward may be GLP-1R-independent."
animal,behavioural/functional consequence,neutral-or-context-dependent,indirect,PMID:22227019,"Part of food-intake suppression by peripheral GLP-1R agonists is mediated by nausea/malaise (conditioned taste avoidance) — the same pathway can produce aversive internal states, not purely 'reward dampening'."
animal,behavioural/functional consequence,neutral-or-context-dependent,indirect,PMID:34844019,"Anorectic AND aversive effects of GLP-1R agonism are mediated by brainstem CCK neurons — aversion is a mechanistically separable, real consequence of GLP-1R activation (relevant to malaise/anhedonia concerns)."
animal,behavioural/functional consequence,neutral-or-context-dependent,remote,PMID:34380697,GIP receptor agonism attenuates GLP-1R-agonist-induced nausea/emesis — confirms GLP-1R activation drives an aversive axis that can be pharmacologically separated (mechanistic asymmetry within dual agonists like tirzepatide).
animal,behavioural/functional consequence,neutral-or-context-dependent,indirect,PMID:26724568,GLP-1 is BOTH anxiogenic AND antidepressant: acute central GLP-1 increases anxiety-like behaviour while chronic GLP-1 is antidepressant — explicit within-study bidirectionality; the only entry that carries a supports-harm signal (acute anxiogenic).
animal,behavioural/functional consequence,contradicts-harm,indirect,PMID:29705602,Liraglutide attenuates depressive- and anxiety-like behaviour in a corticosterone-induced depression model via hippocampal plasticity — animal evidence against a depressogenic mechanism.
human,behavioural/functional consequence,contradicts-harm,direct,PMID:42054055,"RCT (MDD, n=72): semaglutide IMPROVED effort-based motivation (reduced perceived effort cost relative to reward) — directly argues against an anhedonia/amotivation harm mechanism in a depressed population."
human,behavioural/functional consequence,contradicts-harm,direct,PMID:41218611,"RCT (MDD, n=72): semaglutide did NOT worsen depressive symptom severity and was reported safe; no signal of mood harm (executive-function primary endpoint null)."
human,behavioural/functional consequence,neutral-or-context-dependent,direct,PMID:41914576,Meta-analysis of RCTs: GLP-1RAs modestly improved psychological well-being but had NO effect on depressive symptoms; authors judge any benefit likely INDIRECT (metabolic/general-health) rather than a direct mood mechanism.
animal,behavioural/functional consequence,supports-benefit,remote,PMID:24133407,"Review: central GLP-1 implicated in both food and drug reward, positioning GLP-1R as a shared reward-modulatory node — integrative, hypothesis-level."
animal,behavioural/functional consequence,neutral-or-context-dependent,remote,PMID:34323288,Review of brain GLP-1 in food-intake regulation and implications for GLP-1RA therapy — notes reward and aversion both engaged; direction depends on dose/circuit/timeframe.
human,behavioural/functional consequence,neutral-or-context-dependent,direct,UNSTUDIED (no primary mechanistic study identified),"ABSENCE OF EVIDENCE: No mechanistic study tests whether GLP-1R activation directly drives suicidal ideation or acute suicidality-relevant circuitry (e.g., serotonergic dorsal raphe, impulsivity/aggression circuits). The proposed harm pathway is UNSTUDIED, not refuted."
animal,behavioural/functional consequence,neutral-or-context-dependent,remote,UNSTUDIED (no primary mechanistic study identified),"ABSENCE OF EVIDENCE: Whether GLP-1R-mediated aversion/anhedonia signalling (PMID:34844019, 22227019) can, in vulnerable individuals, translate into a mood-worsening or amotivational state at a clinically meaningful level is not directly tested — a plausible but UNSTUDIED harm bridge."
human,behavioural/functional consequence,neutral-or-context-dependent,remote,UNSTUDIED (no primary mechanistic study identified),ABSENCE OF EVIDENCE: Rapid weight loss / caloric restriction as a mediator of mood change during GLP-1RA therapy is not mechanistically dissected in these studies — a candidate indirect harm/benefit pathway that remains uncharacterised.
