outcome,domain,r1_delta,r2_delta,agree,resolved_delta,r1_backend,r2_backend,r1_reason,r2_reason,judge
Cannabis — reduced CUD incidence,publication_bias,0,-1,False,0,claude:claude-sonnet-5,openai:gpt-5.5,k=1 study; funnel plot/Egger's test not feasible or meaningful with a single study.,"Only one observational study is available (k=1); funnel plot/Egger testing is not possible, and selective publication or small-study effects cannot be assessed.","{'resolution': 0, 'reason': ""GRADE downgrades for publication bias only when there is a specific, articulable reason to suspect selective publication (e.g., missing trials from registries, only small positive studies, industry sponsorship pattern) — not merely because k=1 makes funnel plots/Egger's test statistically infeasible. Inability to test for bias is not equivalent to evidence or suspicion of bias; that distinction is central to GRADE's publication-bias domain. Reviewer 2's rationale cites only the infeasibility of formal testing with a single study, without offering any substantive reason (e.g., known unpublished negative studies, registry discrepancies) to suspect selective publication actually occurred. Reviewer 1 correctly applies the GRADE default of no downgrade absent such concrete evidence. Therefore delta=0 is correct, and delta=-1 reflects a common but incorrect conflation of 'cannot assess' with 'should downgrade.'""}"
Cannabis — reduced CUD incidence,upgrade_large_effect,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"CI [0.42, 0.75] implies a point estimate near 0.56, which does not meet the RR<0.5 (or >2) threshold for a large effect.","The confidence interval is 0.42 to 0.75; the effect is not clearly beyond the usual large-effect threshold of RR <0.5, and residual confounding cannot be excluded.",
Cannabis — reduced CUD incidence,upgrade_dose_response,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"No dose-response data (e.g., frequency/quantity gradient across exposure categories) reported for this single-study estimate.",No monotonic dose-response gradient is reported in the supplied evidence context.,
Cannabis — reduced CUD incidence,upgrade_opposing_confounding,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"No specific information indicating that plausible residual confounders (e.g., healthy-user effects, reverse causation, unmeasured comorbidities) would bias the estimate toward the null.",There is no basis to conclude that plausible residual confounding would bias the association toward the null; confounding could plausibly exaggerate or attenuate the observed benefit.,
Opioid — reduced OUD persistence,indirectness,-1,0,False,-1,claude:claude-sonnet-5,openai:gpt-5.5,"Single observational cohort stratified by obesity vs T2D; the exposure/population generating this estimate does not map cleanly onto a single well-defined PICO population, and the comparator group composition is uncertain across the two conditions.","The outcome is directly clinical: reduced persistence of opioid use disorder (OUD), not a surrogate.","{'resolution': -1, 'reason': ""Reviewer 2 correctly notes the outcome itself is patient-important and not a surrogate, but that addresses outcome-directness, not the indirectness domain as a whole. Indirectness also concerns whether the population/comparator generating the estimate maps onto the PICO of interest. Reviewer 1 identifies a genuine, unrebutted problem: the estimate derives from a single observational cohort stratified across two distinct conditions (obesity vs T2D) with uncertain comparator composition, so it is unclear which population/exposure the pooled or stratified estimate actually represents. Since Reviewer 2's justification doesn't address this population/comparator concern, Reviewer 1's rationale stands as the more complete assessment of the indirectness domain.""}"
Opioid — reduced OUD persistence,publication_bias,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,k=1 study contributing to this outcome stratum.,Only one observational study is available; funnel plot/Egger testing is not applicable at k=1.,
Opioid — reduced OUD persistence,upgrade_large_effect,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"CI [0.405, 0.806], implied point estimate ~0.57.","The confidence interval is 0.405 to 0.806; the effect is not clearly and robustly large, and residual confounding cannot be excluded.",
Opioid — reduced OUD persistence,upgrade_dose_response,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"k=1, no dose-response data reported.",No monotonic dose-response gradient is reported.,
Opioid — reduced OUD persistence,upgrade_opposing_confounding,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,No specified direction of residual confounding provided.,No evidence is provided that plausible residual confounding would bias the association toward the null.,
Multiple SUD — reduced incidence,indirectness,-1,0,False,-1,claude:claude-sonnet-5,openai:gpt-5.5,Evidence base mixes obesity-only and T2D populations undergoing metabolic/bariatric intervention rather than a single population matching the target PICO,No specific population/intervention/comparator/outcome mismatch is documented in the provided context.,"{'resolution': 'ESCALATE_TO_HUMAN', 'reason': ""Resolving this requires access to the actual evidence base/PICO documentation to determine whether the included studies indeed mix obesity-only and T2D populations undergoing metabolic/bariatric intervention (Reviewer 1's claim) or whether no such mismatch exists (Reviewer 2's claim). No source data, study characteristics table, or PICO definition was provided in this context to adjudicate between these two factual claims about the evidence base. This is a factual dispute about study population composition, not a judgment call about GRADE methodology, so it cannot be resolved without reviewing the underlying systematic review data.""}"
Multiple SUD — reduced incidence,publication_bias,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,k=2 studies — too few for funnel plot/Egger test or reliable assessment of small-study effects,"Only 2 studies; funnel plot/Egger testing would be unreliable, and no evidence of selective publication is provided.",
Multiple SUD — reduced incidence,upgrade_large_effect,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"Pooled CI 0.22–0.88 (approx. geometric-mean RR ~0.44) suggests a potentially large effect, but I2=90% and k=2 indicate substantial instability","Although the CI is compatible with a large protective effect, the point estimate is not provided and residual confounding cannot be ruled out.",
Multiple SUD — reduced incidence,upgrade_dose_response,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"No dose-response data (e.g., graded exposure levels or intervention intensity) reported in the evidence context",No monotonic dose-response gradient is reported.,
Multiple SUD — reduced incidence,upgrade_opposing_confounding,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"Plausible confounders (healthy-candidate/selection bias for surgery, differential post-surgical surveillance) likely bias away from the null rather than toward it",No evidence is provided that plausible residual confounding would bias the association toward the null.,
