pmid,doi,year,journal,title,substances,include,design,substance,reason,screen_method
41862354,10.1016/j.clinthera.2026.02.010,2026,"{'title': 'Clinical therapeutics', 'iso_abbreviation': 'Clin Ther'}",Effect of Glucagon-Like-Peptide-1 Receptor Agonists (GLP-1 RA) on Neuropsychiatric Outcomes: A Systematic Review and Meta-Analysis.,gambling;other,True,secondary-analysis,multiple,Systematic review meta-analysis of GLP-1 RA on addiction outcomes,LLM (title/abstract)
41862258,10.1016/S2215-0366(26)00014-3,2026,"{'title': 'The lancet. Psychiatry', 'iso_abbreviation': 'Lancet Psychiatry'}",Association between GLP-1 receptor agonist use and worsening mental illness in people with depression and anxiety in Sweden: a national cohort study.,other,True,self-controlled,multiple,"GLP-1 RA vs mental illness/addiction outcomes, within-individual design",LLM (title/abstract)
41852577,10.1093/hropen/hoag015,2026,"{'title': 'Human reproduction open', 'iso_abbreviation': 'Hum Reprod Open'}",Periconceptional GLP-1 receptor agonist exposure and obstetric outcomes: a Danish nationwide cohort study.,nicotine,False,cohort,other,No addiction/reward/consumption outcome reported,LLM (title/abstract)
41820035,10.3760/cma.j.cn112147-20251108-00694,2026,"{'title': 'Zhonghua jie he he hu xi za zhi = Zhonghua jiehe he huxi zazhi = Chinese journal of tuberculosis and respiratory diseases', 'iso_abbreviation': 'Zhonghua Jie He He Hu Xi Za Zhi'}",[Guidelines for the diagnosis and treatment of obstructive sleep apnea in adults (2025)].,alcohol;nicotine,False,review,other,"Clinical guideline document, not a designed human study with quantitative addiction/reward outcomes",LLM (title/abstract)
41653988,10.1016/j.bbr.2026.116085,2026,"{'title': 'Behavioural brain research', 'iso_abbreviation': 'Behav Brain Res'}",Short- and long-acting GLP-1 receptor agonists decrease female sexual behaviors in experienced rodents.,other,False,preclinical,other,Preclinical rodent study; no human data,LLM (title/abstract)
41646707,10.64898/2026.01.15.26344218,2026,"{'title': 'medRxiv : the preprint server for health sciences', 'iso_abbreviation': 'medRxiv'}",Association of GLP-1 Receptor Agonist Prescriptions and Alcohol Consumption in the National Institutes of Health'sCohort.,alcohol,True,cohort,alcohol,GLP-1RA and alcohol consumption quantified via AUDIT-C,LLM (title/abstract)
41616957,10.1016/j.biopsych.2026.01.011,2026,"{'title': 'Biological psychiatry', 'iso_abbreviation': 'Biol Psychiatry'}",GLP-1 Receptor Agonist Medications: Interactions With Addiction Neurocircuitry.,alcohol;other,False,review,multiple,No abstract/data; review or protocol only,LLM (title/abstract)
41616750,10.1016/j.jpsychires.2026.01.042,2026,"{'title': 'Journal of psychiatric research', 'iso_abbreviation': 'J Psychiatr Res'}",Retrospective chart review on psychiatric manifestations of GLP-1 agonist usage.,alcohol,False,self-controlled,alcohol,No quantitative addiction outcome; psychiatric focus only,LLM (title/abstract)
41595103,10.3390/cancers18020179,2026,"{'title': 'Cancers', 'iso_abbreviation': 'Cancers (Basel)'}",Glucagon-like Peptide-1 Receptor Agonist Use and Pancreatic Cancer Risk in Patients with Chronic Pancreatitis.,alcohol;nicotine,False,cohort,other,No addiction/reward/consumption outcome reported,LLM (title/abstract)
41552827,10.3389/fphar.2025.1702448,2026,"{'title': 'Frontiers in pharmacology', 'iso_abbreviation': 'Front Pharmacol'}",The potential role of GLP-1 receptor agonists in substance use disorders - a systematic review.,alcohol;nicotine;other,False,review,multiple,Systematic review; no original quantitative data reported,LLM (title/abstract)
41547366,10.1016/S0140-6736(25)02105-1,2026,"{'title': 'Lancet (London, England)', 'iso_abbreviation': 'Lancet'}","Glucagon-like receptor agonists and next-generation incretin-based medications: metabolic, cardiovascular, and renal benefits.",other,False,review,other,Review article; no addiction/reward outcomes reported,LLM (title/abstract)
41544899,10.1016/j.diabres.2026.113083,2026,"{'title': 'Diabetes research and clinical practice', 'iso_abbreviation': 'Diabetes Res Clin Pract'}","Target trial emulations for tirzepatide, semaglutide and SGLT2-inhibitors for dementia in patients with type 2 diabetes: Real world evidence from a retrospective cohort study.",gambling,False,target-trial-emulation,other,"Dementia outcome, not addiction/reward/consumption",LLM (title/abstract)
41506148,10.1016/j.ebiom.2025.106119,2026,"{'title': 'EBioMedicine', 'iso_abbreviation': 'EBioMedicine'}",Tirzepatide reduces alcohol drinking and relapse-like behaviours in rodents.,alcohol;other,False,preclinical,alcohol,Preclinical rodent study; no human subjects,LLM (title/abstract)
41499192,10.4088/PCC.25lr04040,2026,"{'title': 'The primary care companion for CNS disorders', 'iso_abbreviation': 'Prim Care Companion CNS Disord'}",Semaglutide for Alcohol Use Disorder.,alcohol,False,other,alcohol,No abstract or data available to assess study design,LLM (title/abstract)
41384608,10.1530/EC-25-0713,2026,"{'title': 'Endocrine connections', 'iso_abbreviation': 'Endocr Connect'}",Changes in fibroblast growth factor 21 levels associated with alcohol consumption and smoking cessation.,nicotine,True,secondary-analysis,alcohol,"GLP-1 RA dulaglutide, alcohol cessation outcome measured",LLM (title/abstract)
41212550,10.1001/jama.2025.19615,2026,"{'title': 'JAMA', 'iso_abbreviation': 'JAMA'}",Metabolic Dysfunction-Associated Steatotic Liver Disease in Adults: A Review.,alcohol,False,review,other,No GLP-1 RA studied; no addiction/reward outcome,LLM (title/abstract)
40897378,10.1093/bjd/ljaf346,2026,"{'title': 'The British journal of dermatology', 'iso_abbreviation': 'Br J Dermatol'}","Glucagon-like peptide-1 receptor agonists and reduced mortality, cardiovascular and psychiatric risks in patients with psoriasis: a large-scale cohort study.",alcohol,True,cohort,alcohol,GLP-1RA cohort study; alcohol abuse outcome reported,LLM (title/abstract)
42189538,10.1001/jamanetworkopen.2026.14898,2026,"{'title': 'JAMA network open', 'iso_abbreviation': 'JAMA Netw Open'}",Once-Weekly Semaglutide in Adults With Daily Cigarette Use: A Randomized Clinical Trial.,nicotine;other,True,RCT,nicotine,"Phase 2a RCT, semaglutide vs placebo, smoking craving and cigarette use outcomes",LLM (title/abstract)
41506273,10.1016/S2215-0366(25)00332-3,2026,"{'title': 'The lancet. Psychiatry', 'iso_abbreviation': 'Lancet Psychiatry'}",Disparities in diabetes treatment and monitoring for people with and without mental disorders: a systematic review and meta-analysis.,nicotine,False,review,other,Systematic review of diabetes care disparities; no GLP-1 RA studied,LLM (title/abstract)
42208956,10.1016/S2213-8587(26)00100-2,2026,"{'title': 'The lancet. Diabetes & endocrinology', 'iso_abbreviation': 'Lancet Diabetes Endocrinol'}",Beyond weight loss: multisystem benefits of obesity medications.,other,False,review,other,Narrative review; no addiction/reward outcome data,LLM (title/abstract)
42352323,10.3390/biom16060857,2026,"{'title': 'Biomolecules', 'iso_abbreviation': 'Biomolecules'}","GLP-1 Receptor Agonists in Periodontology: Mechanisms, Clinical Evidence, and Implications for Care.",nicotine,False,review,other,Narrative review; no addiction/reward outcome,LLM (title/abstract)
42355949,10.3390/jcm15124781,2026,"{'title': 'Journal of clinical medicine', 'iso_abbreviation': 'J Clin Med'}",Glucagon-like Peptide-1 Receptor Agonists and Alcohol Use Outcomes: A Systematic Review of Clinical Evidence.,alcohol;other,True,secondary-analysis,alcohol,Systematic review of GLP-1RA effects on alcohol outcomes,LLM (title/abstract)
41697556,10.1007/s12020-026-04559-x,2026,"{'title': 'Endocrine', 'iso_abbreviation': 'Endocrine'}",GLP-1 receptor agonists and smoking cessation: therapeutic promise beyond glycemia.,nicotine;other,True,secondary-analysis,nicotine,Systematic review of GLP-1 RAs in smoking cessation with quantitative human outcomes,LLM (title/abstract)
42367279,10.3389/fphar.2026.1887751,2026,"{'title': 'Frontiers in pharmacology', 'iso_abbreviation': 'Front Pharmacol'}","Editorial: Optimizing GLP-1 receptor agonist use: mechanisms, clinical applications, and safety profiles.",alcohol,False,review,other,Editorial with no data; no addiction outcome reported,LLM (title/abstract)
42219586,10.1097/CRD.0000000000001319,2026,"{'title': 'Cardiology in review', 'iso_abbreviation': 'Cardiol Rev'}",GLP-1 RAs in Substance Use Disorders: Emerging Evidence and Future Directions.,nicotine,False,review,multiple,Narrative review; no primary quantitative data reported,LLM (title/abstract)
41763234,10.1016/S2213-8587(25)00395-X,2026,"{'title': 'The lancet. Diabetes & endocrinology', 'iso_abbreviation': 'Lancet Diabetes Endocrinol'}",Combined associations of GLP-1 receptor agonists and a healthy lifestyle with cardiovascular outcomes among individuals with type 2 diabetes: a prospective cohort study.,nicotine,False,cohort,other,No addiction/reward outcome; cardiovascular endpoint only,LLM (title/abstract)
41781010,10.1136/bmj-2025-086886,2026,"{'title': 'BMJ (Clinical research ed.)', 'iso_abbreviation': 'BMJ'}",Glucagon-like peptide-1 receptor agonists and risk of substance use disorders among US veterans with type 2 diabetes: cohort study.,alcohol;nicotine;other,True,target-trial-emulation,multiple,"GLP-1 RA vs SGLT-2i, multiple SUD outcomes quantified",LLM (title/abstract)
41696398,10.1016/j.abrep.2026.100671,2026,"{'title': 'Addictive behaviors reports', 'iso_abbreviation': 'Addict Behav Rep'}",Glucagon-like peptide 1 receptor agonists in substance use disorders: A systematic review of ClinicalTrials.Gov.,alcohol;nicotine;other,True,secondary-analysis,multiple,"Systematic review of clinical trials, GLP-1RA interventions, quantitative SUD outcomes",LLM (title/abstract)
41773280,10.1177/1759720X261425441,2026,"{'title': 'Therapeutic advances in musculoskeletal disease', 'iso_abbreviation': 'Ther Adv Musculoskelet Dis'}",The association between glucagon-like peptide-1 receptor agonist and rheumatoid arthritis: a population-based case-control study.,nicotine,False,case-control,other,No addiction/reward/consumption outcome measured,LLM (title/abstract)
40694530,10.2337/dc25-0763,2025,"{'title': 'Diabetes care', 'iso_abbreviation': 'Diabetes Care'}",Tirzepatide Treatment and Associated Changes in &#x3b2;-Cell Function and Insulin Sensitivity in People With Obesity or Overweight With Prediabetes or Normoglycemia: A Post Hoc Analysis From the SURMOUNT-1 Trial.,gambling,False,secondary-analysis,other,No addiction/reward outcome reported,LLM (title/abstract)
40630018,10.1111/acer.70110,2025,"{'title': 'Alcohol, clinical & experimental research', 'iso_abbreviation': 'Alcohol Clin Exp Res (Hoboken)'}","Effect of the GLP-1 receptor agonist exenatide on pro-inflammatory and metabolic biomarkers in individuals with alcohol use disorder: Post hoc results from a randomized, double-blinded, placebo-controlled clinical trial.",alcohol,False,secondary-analysis,alcohol,No addiction/reward consumption outcome reported,LLM (title/abstract)
40635383,10.1002/brb3.70661,2025,"{'title': 'Brain and behavior', 'iso_abbreviation': 'Brain Behav'}",Efficacy and Safety of Glucagon-Like Peptide-1 Agonists for Psychiatric Symptoms: A Systematic Review.,alcohol;nicotine;other,True,secondary-analysis,multiple,Systematic review with primary addiction/reward outcomes,LLM (title/abstract)
40644799,10.1016/j.euroneuro.2025.07.001,2025,"{'title': 'European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology', 'iso_abbreviation': 'Eur Neuropsychopharmacol'}","Semaglutide suppresses cocaine taking, seeking, and cocaine-evoked dopamine levels in the nucleus accumbens.",alcohol;other,False,preclinical,cocaine,"Preclinical animal study, rats and mice only",LLM (title/abstract)
40653077,10.1016/j.ejphar.2025.177945,2025,"{'title': 'European journal of pharmacology', 'iso_abbreviation': 'Eur J Pharmacol'}",Lanifibranor and semaglutide demonstrate multiple metabolic benefits in free-choice diet induced obese hamster models of MASH and MetALD.,alcohol,False,preclinical,alcohol,Preclinical hamster model; no human study data,LLM (title/abstract)
40832400,10.1101/2025.08.12.25331941,2025,"{'title': 'medRxiv : the preprint server for health sciences', 'iso_abbreviation': 'medRxiv'}",GLP-1 receptor agonist indications and prescriptions among adults who do and do not smoke.,nicotine,False,cohort,nicotine,No quantitative addiction/reward/consumption/craving outcome reported,LLM (title/abstract)
40788646,10.1001/jamanetworkopen.2025.26327,2025,"{'title': 'JAMA network open', 'iso_abbreviation': 'JAMA Netw Open'}",Semaglutide or Tirzepatide and Optic Nerve and Visual Pathway Disorders in Type 2 Diabetes.,alcohol,False,cohort,other,No addiction/reward/consumption outcome studied,LLM (title/abstract)
40792626,10.1097/ADM.0000000000001565,2025,"{'title': 'Journal of addiction medicine', 'iso_abbreviation': 'J Addict Med'}",GLP-1 RA Medication Associations With Hazardous Alcohol Drinking Reductions in Patients With Overweight or Obesity: A Prospective Observational Study.,other,True,single-arm,alcohol,"GLP-1 RA, hazardous drinking quantified, prospective observational",LLM (title/abstract)
40843757,10.3390/medsci13030136,2025,"{'title': 'Medical sciences (Basel, Switzerland)', 'iso_abbreviation': 'Med Sci (Basel)'}",Mechanisms of GLP-1 in Modulating Craving and Addiction: Neurobiological and Translational Insights.,alcohol;nicotine;other,False,review,multiple,Narrative review; no quantitative human data reported,LLM (title/abstract)
40874398,10.1111/dom.70054,2025,"{'title': 'Diabetes, obesity & metabolism', 'iso_abbreviation': 'Diabetes Obes Metab'}",Cardiovascular and kidney outcomes of GLP-1 receptor agonists in adults with obesity: A target trial emulation study.,other,False,target-trial-emulation,other,No addiction/reward outcome; cardiovascular/renal focus,LLM (title/abstract)
40892617,10.1016/j.jacc.2025.08.046,2025,"{'title': 'Journal of the American College of Cardiology', 'iso_abbreviation': 'J Am Coll Cardiol'}",Sex Differences in Effectiveness of Semaglutide in Patients With Peripheral Artery Disease: The STRIDE Trial.,nicotine,False,secondary-analysis,other,No addiction/reward outcome measured,LLM (title/abstract)
40899147,10.1017/neu.2025.10038,2025,"{'title': 'Acta neuropsychiatrica', 'iso_abbreviation': 'Acta Neuropsychiatr'}",Glucagon-like peptide-1 receptor agonists for the treatment of opioid use disorders: a systematic review.,other,False,review,opioid,Systematic review with mixed preclinical/clinical; no quantitative human addiction outcome data reported,LLM (title/abstract)
40620322,10.1007/s40200-025-01663-z,2025,"{'title': 'Journal of diabetes and metabolic disorders', 'iso_abbreviation': 'J Diabetes Metab Disord'}",The expanding role of semaglutide: beyond glycemic control.,alcohol,False,review,alcohol,Narrative review; no quantitative addiction outcomes reported,LLM (title/abstract)
40577093,10.1097/YIC.0000000000000595,2025,"{'title': 'International clinical psychopharmacology', 'iso_abbreviation': 'Int Clin Psychopharmacol'}",Glucagon-like peptide-1 receptor agonist semaglutide through the lens of psychiatry: a systematic review of potential benefits and risks.,alcohol;other,True,secondary-analysis,multiple,Systematic review of GLP-1 RA with addiction/reward outcomes,LLM (title/abstract)
40980971,10.1111/liv.70367,2025,"{'title': 'Liver international : official journal of the International Association for the Study of the Liver', 'iso_abbreviation': 'Liver Int'}",Target Trial Emulations of GLP-1 and Dual GLP-1/GIP Agonists to Reduce Major Adverse Liver Outcomes in Type 2 Diabetes.,gambling,True,target-trial-emulation,other,GLP-1/GIP RAs vs liver outcomes in T2D,LLM (title/abstract)
40555748,10.1038/s41591-025-03774-9,2025,"{'title': 'Nature medicine', 'iso_abbreviation': 'Nat Med'}",Tirzepatide on ingestive behavior in adults with overweight or obesity: a randomized 6-week phase 1 trial.,other,False,RCT,other,"Weight-loss/appetite mechanism study, no addiction outcome",LLM (title/abstract)
40146378,10.1007/s13300-025-01721-y,2025,"{'title': 'Diabetes therapy : research, treatment and education of diabetes and related disorders', 'iso_abbreviation': 'Diabetes Ther'}","Once-Weekly Semaglutide Versus Sodium-Glucose Co-transporter&#xa0;2 Inhibitors: Real-World Impact on Weight, HbA1c, and Healthcare Resource Utilization in Type&#xa0;2 Diabetes (PAUSE).",gambling,False,cohort,other,Type 2 diabetes outcomes; no addiction/reward endpoint,LLM (title/abstract)
40218974,10.3390/nu17071216,2025,"{'title': 'Nutrients', 'iso_abbreviation': 'Nutrients'}","Preliminary Evidence Suggests That a 12-Week Treatment with Tirzepatide Plus Low-Energy Ketogenic Therapy Is More Effective than Its Combination with a Low-Calorie Diet in Preserving Fat-Free Mass, Muscle Strength, and Resting Metabolic Rate in Patients with Obesity.",alcohol,False,single-arm,other,No addiction/reward outcome measured,LLM (title/abstract)
40228539,10.1055/a-2550-6470,2025,"{'title': 'Pharmacopsychiatry', 'iso_abbreviation': 'Pharmacopsychiatry'}",Therapeutic Potential of the Novel GLP-1 Receptor Agonist Semaglutide in Alcohol Use Disorder.,alcohol;other,False,review,alcohol,Narrative review; no human trial data reported,LLM (title/abstract)
40245495,10.1016/j.ebiom.2025.105684,2025,"{'title': 'EBioMedicine', 'iso_abbreviation': 'EBioMedicine'}",An inhibitory GLP-1 circuit in the lateral septum modulates reward processing and alcohol intake in rodents.,alcohol;other,False,preclinical,alcohol,Rodent study; excludes per preclinical criterion,LLM (title/abstract)
40272681,10.1007/s11606-025-09498-3,2025,"{'title': 'Journal of general internal medicine', 'iso_abbreviation': 'J Gen Intern Med'}",GLP-1 Receptor Agonists: Encouraging Signals for Treating Alcohol Use Disorder.,alcohol;other,True,secondary-analysis,alcohol,Perspective reviewing trial + retrospective studies on GLP-1 RA and alcohol outcomes,LLM (title/abstract)
40281304,10.1038/s41573-025-01183-8,2025,"{'title': 'Nature reviews. Drug discovery', 'iso_abbreviation': 'Nat Rev Drug Discov'}","GLP-1-based therapies for diabetes, obesity and beyond.",other,False,review,other,Narrative review; no addiction quantitative outcomes reported,LLM (title/abstract)
40287313,10.1016/j.numecd.2025.104036,2025,"{'title': 'Nutrition, metabolism, and cardiovascular diseases : NMCD', 'iso_abbreviation': 'Nutr Metab Cardiovasc Dis'}",The impact of semaglutide on liver fat assessed by serial cardiac CT scans in patients with type 2 diabetes: Results from STOP trial.,nicotine,False,secondary-analysis,other,No addiction/reward outcome reported,LLM (title/abstract)
40400262,10.1093/ejendo/lvaf096,2025,"{'title': 'European journal of endocrinology', 'iso_abbreviation': 'Eur J Endocrinol'}","Efficacy, safety, and insulin-like growth factor I of weekly somapacitan in children with growth hormone deficiency: 3-year results from REAL4.",alcohol,False,RCT,other,Growth hormone deficiency treatment; no addiction/reward endpoint,LLM (title/abstract)
40469447,10.3389/fendo.2025.1586589,2025,"{'title': 'Frontiers in endocrinology', 'iso_abbreviation': 'Front Endocrinol (Lausanne)'}",Use of GLP-1 receptor agonist and risk of osteoporosis among patients with type 2 diabetes: a real-world study.,nicotine,False,cohort,other,No addiction/reward outcome; bone health endpoint only,LLM (title/abstract)
40470002,10.1016/j.xnsj.2025.100612,2025,"{'title': 'North American Spine Society journal', 'iso_abbreviation': 'N Am Spine Soc J'}",Glucagon-like peptide-1 receptor agonist use prior to spinal surgery results in reduced postoperative length of stay: A propensity-score matched analysis.,nicotine,False,cohort,other,No addiction/reward/consumption outcome measured,LLM (title/abstract)
40502777,10.21203/rs.3.rs-6666196/v1,2025,"{'title': 'Research square', 'iso_abbreviation': 'Res Sq'}","Efficacy of the GLP-1 receptor agonist, semaglutide, in abstinence from illicit and nonprescribed opioids in an outpatient population with treatment-refractory OUD: A randomized, double-blind, placebo-controlled clinical trial protocol.",other,False,protocol,opioid,"Protocol-only, no results data reported",LLM (title/abstract)
40506202,10.1016/S2215-0366(25)00166-X,2025,"{'title': 'The lancet. Psychiatry', 'iso_abbreviation': 'Lancet Psychiatry'}",Semaglutide for clozapine-treated patients with schizophrenia.,other,False,other,other,No addiction/reward outcome; weight management in psychiatric population,LLM (title/abstract)
40506208,10.1016/S2215-0366(25)00129-4,2025,"{'title': 'The lancet. Psychiatry', 'iso_abbreviation': 'Lancet Psychiatry'}","Efficacy and safety of semaglutide versus placebo for people with schizophrenia on clozapine with obesity (COaST): a phase 2, multi-centre, participant and investigator- blinded, randomised controlled trial in Australia.",other,True,RCT,other,Weight loss in schizophrenia; no addiction outcome,LLM (title/abstract)
40510733,10.1136/egastro-2025-100196,2025,"{'title': 'eGastroenterology', 'iso_abbreviation': 'eGastroenterology'}",Key takeaways from the updated multidisciplinary European MASLD guidelines.,alcohol,False,review,other,"Guidelines summary, no addiction/reward outcome studied",LLM (title/abstract)
40513177,10.1016/j.medcli.2025.107044,2025,"{'title': 'Medicina clinica', 'iso_abbreviation': 'Med Clin (Barc)'}",Controversies in nomenclature: From nonalcoholic steatohepatitis to the full spectrum of hepatic steatosis.,alcohol,False,review,other,Nomenclature review; no addiction/reward outcome,LLM (title/abstract)
40552638,10.1177/13872877251351329,2025,"{'title': ""Journal of Alzheimer's disease : JAD"", 'iso_abbreviation': 'J Alzheimers Dis'}",Associations of semaglutide with Alzheimer's disease-related dementias in patients with type 2 diabetes: A real-world target trial emulation study.,alcohol,False,target-trial-emulation,other,Dementia outcome unrelated to addiction/reward,LLM (title/abstract)
40554081,10.1016/j.cct.2025.107989,2025,"{'title': 'Contemporary clinical trials', 'iso_abbreviation': 'Contemp Clin Trials'}",A randomized controlled trial of once-weekly semaglutide for limiting post-smoking cessation weight gain in smokers with overweight/obesity: Study protocol.,nicotine,False,RCT,nicotine,Protocol-only; no addiction/reward outcome data reported,LLM (title/abstract)
40960852,10.1001/jamasurg.2025.3590,2025,"{'title': 'JAMA surgery', 'iso_abbreviation': 'JAMA Surg'}",Obesity Treatment With Bariatric Surgery vs GLP-1 Receptor Agonists.,nicotine,False,cohort,other,No addiction/reward outcome measured,LLM (title/abstract)
41051803,10.17116/jnevro202512509128,2025,"{'title': 'Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova', 'iso_abbreviation': 'Zh Nevrol Psikhiatr Im S S Korsakova'}",[Effects of semaglutide on mental health].,alcohol;other,False,review,other,Narrative review; no quantitative addiction outcome reported,LLM (title/abstract)
40986636,10.2337/dca25-0090,2025,"{'title': 'Diabetes care', 'iso_abbreviation': 'Diabetes Care'}",GLP-1 Receptor Agonist Indications and Prescriptions Among Adults Who Do and Do Not Smoke.,nicotine,False,other,nicotine,No addiction/reward outcome data reported,LLM (title/abstract)
40375882,10.3389/fpsyt.2025.1420316,2025,"{'title': 'Frontiers in psychiatry', 'iso_abbreviation': 'Front Psychiatry'}",The role of dulaglutide in the treatment of alcohol use disorder: a case report.,alcohol,True,single-arm,alcohol,Case report with quantified alcohol outcome,LLM (title/abstract)
41303457,10.3390/ijms262210974,2025,"{'title': 'International journal of molecular sciences', 'iso_abbreviation': 'Int J Mol Sci'}",Neurobiological Mechanisms and Therapeutic Potential of Glucagon-like Peptide-1 Receptor Agonists in Binge Eating Disorder: A Narrative Review.,other,False,review,other,Narrative review; no original quantitative data reported,LLM (title/abstract)
40785322,10.1111/dom.16591,2025,"{'title': 'Diabetes, obesity & metabolism', 'iso_abbreviation': 'Diabetes Obes Metab'}",Long-term effectiveness of iGlarLixi treatment in people with type 2 diabetes in the United States: The soli-durability 24-month observational study.,gambling,False,cohort,other,No addiction/reward outcome reported,LLM (title/abstract)
40765170,10.1177/29767342251351111,2025,"{'title': 'Substance use & addiction journal', 'iso_abbreviation': 'Subst Use Addctn J'}",Assessment of the Potential of GLP-1 Analogs in the Treatment of Addictions: A Literature Review.,nicotine;other,False,review,multiple,Narrative review; no human quantitative data reported,LLM (title/abstract)
40736492,,2025,"{'title': 'American family physician', 'iso_abbreviation': 'Am Fam Physician'}",Top 20 Research Studies of 2024 for Primary Care Physicians.,alcohol;nicotine,False,review,multiple,Review article; no designed study with addiction outcome,LLM (title/abstract)
40722592,10.3390/biomedicines13071516,2025,"{'title': 'Biomedicines', 'iso_abbreviation': 'Biomedicines'}",Glucagon-like Peptide-1 Receptor Agonists (GLP-1 RAs): A Pan-Steatotic Liver Disease Treatment?,alcohol,False,review,alcohol,"Opinion article, no quantitative addiction outcome data",LLM (title/abstract)
40699363,10.1007/s00213-025-06854-3,2025,"{'title': 'Psychopharmacology', 'iso_abbreviation': 'Psychopharmacology (Berl)'}","Semaglutide, tirzepatide, and retatrutide attenuate the interoceptive effects of alcohol in male and female rats.",alcohol;other,False,preclinical,alcohol,Animal-only study; no human data,LLM (title/abstract)
40364515,10.1111/dom.16453,2025,"{'title': 'Diabetes, obesity & metabolism', 'iso_abbreviation': 'Diabetes Obes Metab'}",Glucagon-like peptide-1 receptor agonists and alcohol use disorders: An emerging unexpected beneficial effect.,alcohol;other,True,review,alcohol,Systematic review of GLP-1RA effects on alcohol use disorders,LLM (title/abstract)
