packet_id,layer,case_type,model_a,model_a_label,model_b,model_b_label,pipeline_decision
EXT_017,extraction,confirm,claude-sonnet-5,protective,claude-opus-4-8,protective,
EXT_018,extraction,confirm,claude-sonnet-5,anxiety,claude-opus-4-8,anxiety,
EXT_019,extraction,confirm,claude-sonnet-5,null,claude-opus-4-8,null,
EXT_020,extraction,disagree,claude-sonnet-5,composite_suicidality,claude-opus-4-8,suicide_attempt_self_harm,
EXT_021,extraction,disagree,claude-sonnet-5,anxiety,claude-opus-4-8,depression,
EXT_022,extraction,confirm,claude-sonnet-5,0.58,claude-opus-4-8,0.58,
EXT_023,extraction,confirm,claude-sonnet-5,null,claude-opus-4-8,null,
EXT_024,extraction,disagree,claude-sonnet-5,0.61,claude-opus-4-8,0.83,
EXT_025,extraction,confirm,claude-sonnet-5,composite_suicidality,claude-opus-4-8,composite_suicidality,
EXT_026,extraction,confirm,claude-sonnet-5,harmful,claude-opus-4-8,harmful,
EXT_027,extraction,confirm,claude-sonnet-5,depression,claude-opus-4-8,depression,
EXT_028,extraction,confirm,claude-sonnet-5,neuropsychiatric_other,claude-opus-4-8,neuropsychiatric_other,
EXT_029,extraction,disagree,claude-sonnet-5,1.16,claude-opus-4-8,1.28,
EXT_030,extraction,disagree,claude-sonnet-5,0.37,claude-opus-4-8,0.57,
EXT_031,extraction,disagree,claude-sonnet-5,3.63,claude-opus-4-8,6.14,
EXT_032,extraction,disagree,claude-sonnet-5,composite_suicidality,claude-opus-4-8,suicidal_ideation,
EXT_033,extraction,disagree,claude-sonnet-5,1.18,claude-opus-4-8,1.36,
EXT_034,extraction,disagree,claude-sonnet-5,1.02,claude-opus-4-8,1.11,
EXT_035,extraction,confirm,claude-sonnet-5,null,claude-opus-4-8,null,
EXT_036,extraction,confirm,claude-sonnet-5,protective,claude-opus-4-8,protective,
EXT_037,extraction,confirm,claude-sonnet-5,0.55,claude-opus-4-8,0.55,
ROB_000,rob,disagree,claude-sonnet-5(reviewer1),Serious,gpt-5.5(reviewer2),Moderate,
ROB_001,rob,disagree,claude-sonnet-5(reviewer1),No information,gpt-5.5(reviewer2),Moderate,
ROB_002,rob,disagree,claude-sonnet-5(reviewer1),Moderate,gpt-5.5(reviewer2),Low,
ROB_003,rob,confirm,claude-sonnet-5(reviewer1),Low,gpt-5.5(reviewer2),Low,
ROB_004,rob,confirm,claude-sonnet-5(reviewer1),Low,gpt-5.5(reviewer2),Low,
ROB_005,rob,disagree,claude-sonnet-5(reviewer1),Moderate,gpt-5.5(reviewer2),Low,
ROB_006,rob,disagree,claude-sonnet-5(reviewer1),Low,gpt-5.5(reviewer2),No information,
ROB_007,rob,disagree,claude-sonnet-5(reviewer1),Low,gpt-5.5(reviewer2),Moderate,
ROB_008,rob,confirm,claude-sonnet-5(reviewer1),Serious,gpt-5.5(reviewer2),Serious,
ROB_009,rob,confirm,claude-sonnet-5(reviewer1),Moderate,gpt-5.5(reviewer2),Moderate,
ROB_010,rob,disagree,claude-sonnet-5(reviewer1),Low,gpt-5.5(reviewer2),Moderate,
ROB_011,rob,disagree,claude-sonnet-5(reviewer1),Low,gpt-5.5(reviewer2),Moderate,
ROB_012,rob,disagree,claude-sonnet-5(reviewer1),Serious,gpt-5.5(reviewer2),No information,
ROB_013,rob,disagree,claude-sonnet-5(reviewer1),Low,gpt-5.5(reviewer2),Moderate,
ROB_014,rob,disagree,claude-sonnet-5(reviewer1),Moderate,gpt-5.5(reviewer2),Serious,
ROB_015,rob,confirm,claude-sonnet-5(reviewer1),Moderate,gpt-5.5(reviewer2),Moderate,
ROB_016,rob,confirm,claude-sonnet-5(reviewer1),Moderate,gpt-5.5(reviewer2),Moderate,
ROB_017,rob,confirm,claude-sonnet-5(reviewer1),Serious,gpt-5.5(reviewer2),Serious,
ROB_018,rob,disagree,claude-sonnet-5(reviewer1),Low,gpt-5.5(reviewer2),No information,
ROB_019,rob,disagree,claude-sonnet-5(reviewer1),Low,gpt-5.5(reviewer2),Moderate,
ROB_020,rob,disagree,claude-sonnet-5(reviewer1),Moderate,gpt-5.5(reviewer2),No information,
ROB_021,rob,confirm,claude-sonnet-5(reviewer1),Low,gpt-5.5(reviewer2),Low,
ROB_022,rob,disagree,claude-sonnet-5(reviewer1),Low,gpt-5.5(reviewer2),Moderate,
ROB_023,rob,disagree,claude-sonnet-5(reviewer1),Moderate,gpt-5.5(reviewer2),Low,
ROB_024,rob,disagree,claude-sonnet-5(reviewer1),Low,gpt-5.5(reviewer2),Moderate,
ROB_025,rob,disagree,claude-sonnet-5(reviewer1),Moderate,gpt-5.5(reviewer2),Low,
ROB_026,rob,disagree,claude-sonnet-5(reviewer1),Low,gpt-5.5(reviewer2),Moderate,
ROB_027,rob,confirm,claude-sonnet-5(reviewer1),Moderate,gpt-5.5(reviewer2),Moderate,
ROB_028,rob,confirm,claude-sonnet-5(reviewer1),Moderate,gpt-5.5(reviewer2),Moderate,
ROB_029,rob,confirm,claude-sonnet-5(reviewer1),No information,gpt-5.5(reviewer2),No information,
ROB_030,rob,disagree,claude-sonnet-5(reviewer1),Moderate,gpt-5.5(reviewer2),No information,
ROB_031,rob,confirm,claude-sonnet-5(reviewer1),Low,gpt-5.5(reviewer2),Low,
ROB_032,rob,disagree,claude-sonnet-5(reviewer1),No information,gpt-5.5(reviewer2),Moderate,
ROB_033,rob,disagree,claude-sonnet-5(reviewer1),Low,gpt-5.5(reviewer2),Moderate,
ROB_034,rob,disagree,claude-sonnet-5(reviewer1),Serious,gpt-5.5(reviewer2),Moderate,
ROB_035,rob,disagree,claude-sonnet-5(reviewer1),Moderate,gpt-5.5(reviewer2),Low,
ROB_036,rob,confirm,claude-sonnet-5(reviewer1),Serious,gpt-5.5(reviewer2),Serious,
ROB_037,rob,disagree,claude-sonnet-5(reviewer1),Low,gpt-5.5(reviewer2),Moderate,
ROB_038,rob,confirm,claude-sonnet-5(reviewer1),Moderate,gpt-5.5(reviewer2),Moderate,
ROB_039,rob,confirm,claude-sonnet-5(reviewer1),Moderate,gpt-5.5(reviewer2),Moderate,
FAERS_000,faers,disagree,claude-sonnet-5,confounded_by_indication,openai-gpt-5.5,uninterpretable,uninterpretable
FAERS_001,faers,disagree,claude-sonnet-5,uninterpretable,openai-gpt-5.5,confounded_by_comedication,uninterpretable
FAERS_002,faers,disagree,claude-sonnet-5,plausible_drug_attributed,openai-gpt-5.5,notoriety_or_legal_sourced,notoriety_or_legal_sourced
FAERS_003,faers,confirm,claude-sonnet-5,confounded_by_comedication,openai-gpt-5.5,confounded_by_comedication,confounded_by_comedication
FAERS_004,faers,confirm,claude-sonnet-5,notoriety_or_legal_sourced,openai-gpt-5.5,notoriety_or_legal_sourced,notoriety_or_legal_sourced
FAERS_005,faers,disagree,claude-sonnet-5,uninterpretable,openai-gpt-5.5,plausible_drug_attributed,uninterpretable
FAERS_006,faers,confirm,claude-sonnet-5,notoriety_or_legal_sourced,openai-gpt-5.5,notoriety_or_legal_sourced,notoriety_or_legal_sourced
FAERS_007,faers,confirm,claude-sonnet-5,uninterpretable,openai-gpt-5.5,uninterpretable,uninterpretable
FAERS_008,faers,confirm,claude-sonnet-5,uninterpretable,openai-gpt-5.5,uninterpretable,uninterpretable
FAERS_009,faers,confirm,claude-sonnet-5,uninterpretable,openai-gpt-5.5,uninterpretable,plausible_drug_attributed
FAERS_010,faers,disagree,claude-sonnet-5,confounded_by_indication,openai-gpt-5.5,uninterpretable,uninterpretable
FAERS_011,faers,disagree,claude-sonnet-5,confounded_by_indication,openai-gpt-5.5,notoriety_or_legal_sourced,confounded_by_indication
FAERS_012,faers,disagree,claude-sonnet-5,plausible_drug_attributed,openai-gpt-5.5,uninterpretable,uninterpretable
FAERS_013,faers,disagree,claude-sonnet-5,plausible_drug_attributed,openai-gpt-5.5,confounded_by_comedication,confounded_by_indication
FAERS_014,faers,disagree,claude-sonnet-5,confounded_by_comedication,openai-gpt-5.5,notoriety_or_legal_sourced,confounded_by_comedication
FAERS_015,faers,confirm,claude-sonnet-5,notoriety_or_legal_sourced,openai-gpt-5.5,notoriety_or_legal_sourced,notoriety_or_legal_sourced
FAERS_016,faers,disagree,claude-sonnet-5,plausible_drug_attributed,openai-gpt-5.5,uninterpretable,notoriety_or_legal_sourced
FAERS_017,faers,confirm,claude-sonnet-5,confounded_by_comedication,openai-gpt-5.5,confounded_by_comedication,confounded_by_comedication
FAERS_018,faers,disagree,claude-sonnet-5,plausible_drug_attributed,openai-gpt-5.5,confounded_by_indication,uninterpretable
FAERS_019,faers,disagree,claude-sonnet-5,uninterpretable,openai-gpt-5.5,confounded_by_comedication,uninterpretable
FAERS_020,faers,disagree,claude-sonnet-5,plausible_drug_attributed,openai-gpt-5.5,uninterpretable,uninterpretable
FAERS_021,faers,disagree,claude-sonnet-5,confounded_by_indication,openai-gpt-5.5,confounded_by_comedication,uninterpretable
FAERS_022,faers,disagree,claude-sonnet-5,confounded_by_indication,openai-gpt-5.5,notoriety_or_legal_sourced,notoriety_or_legal_sourced
FAERS_023,faers,disagree,claude-sonnet-5,plausible_drug_attributed,openai-gpt-5.5,uninterpretable,plausible_drug_attributed
FAERS_024,faers,disagree,claude-sonnet-5,plausible_drug_attributed,openai-gpt-5.5,notoriety_or_legal_sourced,plausible_drug_attributed
FAERS_025,faers,disagree,claude-sonnet-5,confounded_by_comedication,openai-gpt-5.5,notoriety_or_legal_sourced,confounded_by_comedication
FAERS_026,faers,disagree,claude-sonnet-5,plausible_drug_attributed,openai-gpt-5.5,notoriety_or_legal_sourced,notoriety_or_legal_sourced
FAERS_027,faers,disagree,claude-sonnet-5,plausible_drug_attributed,openai-gpt-5.5,notoriety_or_legal_sourced,confounded_by_indication
FAERS_028,faers,confirm,claude-sonnet-5,notoriety_or_legal_sourced,openai-gpt-5.5,notoriety_or_legal_sourced,confounded_by_comedication
FAERS_029,faers,confirm,claude-sonnet-5,notoriety_or_legal_sourced,openai-gpt-5.5,notoriety_or_legal_sourced,uninterpretable
FAERS_030,faers,confirm,claude-sonnet-5,plausible_drug_attributed,openai-gpt-5.5,plausible_drug_attributed,uninterpretable
FAERS_031,faers,disagree,claude-sonnet-5,confounded_by_comedication,openai-gpt-5.5,notoriety_or_legal_sourced,notoriety_or_legal_sourced
FAERS_032,faers,confirm,claude-sonnet-5,notoriety_or_legal_sourced,openai-gpt-5.5,notoriety_or_legal_sourced,notoriety_or_legal_sourced
FAERS_033,faers,disagree,claude-sonnet-5,confounded_by_indication,openai-gpt-5.5,plausible_drug_attributed,confounded_by_indication
FAERS_034,faers,disagree,claude-sonnet-5,uninterpretable,openai-gpt-5.5,notoriety_or_legal_sourced,notoriety_or_legal_sourced
FAERS_035,faers,disagree,claude-sonnet-5,uninterpretable,openai-gpt-5.5,plausible_drug_attributed,uninterpretable
FAERS_036,faers,confirm,claude-sonnet-5,uninterpretable,openai-gpt-5.5,uninterpretable,uninterpretable
FAERS_037,faers,confirm,claude-sonnet-5,notoriety_or_legal_sourced,openai-gpt-5.5,notoriety_or_legal_sourced,confounded_by_indication
FAERS_038,faers,confirm,claude-sonnet-5,uninterpretable,openai-gpt-5.5,uninterpretable,uninterpretable
FAERS_039,faers,disagree,claude-sonnet-5,uninterpretable,openai-gpt-5.5,confounded_by_comedication,uninterpretable
